ID,NatID1,NatID2,SudijaID,Status,Faza,BrPotezi,NastanID,BobednikID
56,3709,2462,37,Nereseno,Samostoen,26,100,null
57,5071,4973,10,Pobednik,Polufinale,10,87,5071
58,3310,1021,14,Nereseno,CetvrtFinale,46,47,null
59,4163,3151,8,Pobednik,Polufinale,20,239,3151
60,3590,4609,44,Pobednik,Polufinale,78,178,4609
61,3218,4990,49,Pobednik,Polufinale,21,191,4990
62,1930,4666,23,Pobednik,Samostoen,66,145,4666
63,4290,4603,44,Nereseno,Finale,37,55,null
64,2597,1449,21,Pobednik,CetvrtFinale,45,106,1449
65,1157,4378,4,Pobednik,Finale,71,205,1157
66,1633,331,50,Nereseno,Polufinale,77,38,null
67,3685,3854,22,Nereseno,Finale,16,138,null
68,1144,931,40,Nereseno,CetvrtFinale,72,18,null
69,1149,3329,27,Pobednik,Polufinale,38,115,3329
70,3967,2025,24,Nereseno,CetvrtFinale,28,27,null
71,615,4577,35,Nereseno,CetvrtFinale,60,225,null
72,3440,2312,3,Pobednik,Finale,68,198,3440
73,5149,3539,13,Nereseno,CetvrtFinale,63,138,null
74,2552,115,11,Pobednik,Finale,26,226,115
75,4078,4230,6,Nereseno,Finale,17,78,null
76,3311,4080,37,Nereseno,Polufinale,69,222,null
77,1995,3760,34,Nereseno,Polufinale,69,83,null
78,2954,1519,48,Nereseno,CetvrtFinale,79,44,null
79,3562,4815,37,Nereseno,Finale,17,101,null
80,2420,3486,6,Pobednik,Polufinale,50,6,2420
81,1420,1861,26,Pobednik,Kvalifikacii,72,237,1420
82,1340,1895,20,Nereseno,Polufinale,28,29,null
83,3655,2970,7,Nereseno,Polufinale,66,188,null
84,4780,2952,31,Nereseno,Kvalifikacii,55,252,null
85,4446,2408,23,Nereseno,Samostoen,37,68,null
86,538,4493,45,Pobednik,Polufinale,16,152,538
87,1486,2107,2,Pobednik,CetvrtFinale,52,215,1486
88,3070,2345,42,Nereseno,Finale,30,202,null
89,1126,514,46,Pobednik,Finale,71,162,514
90,1686,4325,26,Nereseno,Polufinale,58,232,null
91,253,3146,40,Pobednik,Polufinale,25,100,3146
92,1515,468,25,Pobednik,Polufinale,30,69,468
93,3015,4298,14,Pobednik,Kvalifikacii,14,134,3015
94,3205,5136,37,Pobednik,Samostoen,60,166,3205
95,225,5048,1,Nereseno,Polufinale,43,185,null
96,1307,230,19,Nereseno,Finale,31,87,null
97,246,2429,32,Nereseno,Finale,29,15,null
98,2083,683,25,Nereseno,CetvrtFinale,79,211,null
99,174,2615,47,Nereseno,Samostoen,71,253,null
100,812,3933,24,Pobednik,Finale,44,158,812
101,3035,3894,26,Pobednik,CetvrtFinale,18,162,3894
102,3006,4469,23,Nereseno,Finale,45,73,null
103,4368,1971,46,Pobednik,Finale,41,236,4368
104,3241,3643,15,Nereseno,Polufinale,25,158,null
105,1126,2076,31,Nereseno,Finale,60,157,null
106,4616,1530,18,Pobednik,CetvrtFinale,77,198,4616
107,1796,4319,31,Pobednik,Finale,21,175,1796
108,4060,1879,22,Nereseno,Polufinale,42,12,null
109,4258,844,50,Nereseno,CetvrtFinale,36,77,null
110,1738,2942,31,Pobednik,CetvrtFinale,74,63,2942
111,372,3717,16,Pobednik,Kvalifikacii,74,6,372
112,3084,4131,14,Nereseno,Samostoen,50,130,null
113,4729,2728,39,Nereseno,Samostoen,80,247,null
114,628,386,11,Nereseno,Finale,13,5,null
115,1884,1997,1,Pobednik,CetvrtFinale,77,251,1997
116,1470,4315,33,Pobednik,Kvalifikacii,39,218,1470
117,1420,2658,45,Nereseno,Polufinale,24,189,null
118,5032,3136,41,Nereseno,CetvrtFinale,17,45,null
119,3942,1793,41,Pobednik,Samostoen,41,154,3942
120,934,2699,26,Pobednik,Polufinale,46,245,2699
121,4194,1175,1,Pobednik,Finale,39,158,1175
122,4852,426,35,Nereseno,Samostoen,80,231,null
123,1031,2891,35,Nereseno,Kvalifikacii,11,160,null
124,963,4386,9,Nereseno,CetvrtFinale,49,26,null
125,3479,1763,46,Pobednik,Finale,17,226,3479
126,818,1259,25,Nereseno,Kvalifikacii,43,1,null
127,1182,2194,12,Pobednik,Samostoen,21,188,1182
128,3299,2514,27,Pobednik,Polufinale,19,93,2514
129,1946,1036,3,Nereseno,Finale,67,29,null
130,1888,167,15,Nereseno,Kvalifikacii,68,26,null
131,3972,4171,41,Pobednik,Polufinale,18,76,4171
132,1382,3306,41,Pobednik,Samostoen,63,8,1382
133,342,2717,16,Pobednik,Finale,21,210,342
134,3517,1704,50,Pobednik,Samostoen,67,147,1704
135,4582,3437,42,Nereseno,Samostoen,22,2,null
136,2249,4708,31,Nereseno,Samostoen,58,232,null
137,5100,397,22,Pobednik,CetvrtFinale,19,207,397
138,5119,2457,47,Nereseno,Kvalifikacii,36,58,null
139,2239,2592,9,Nereseno,Finale,77,30,null
140,1806,1217,22,Nereseno,Polufinale,41,65,null
141,3653,3671,17,Pobednik,Samostoen,38,180,3653
142,2383,4337,9,Pobednik,Kvalifikacii,35,3,4337
143,2768,4381,5,Nereseno,CetvrtFinale,28,159,null
144,4997,4377,32,Pobednik,Polufinale,77,98,4997
145,2525,2096,41,Nereseno,Polufinale,59,201,null
146,2667,3161,48,Nereseno,Finale,76,36,null
147,4146,3856,29,Pobednik,CetvrtFinale,44,193,4146
148,3892,2495,8,Pobednik,CetvrtFinale,18,246,2495
149,3322,4179,42,Nereseno,Samostoen,40,49,null
150,3827,4419,7,Pobednik,Polufinale,44,201,3827
151,2008,250,25,Pobednik,Polufinale,24,1,250
152,1582,4060,27,Nereseno,Kvalifikacii,32,77,null
153,3006,2568,50,Nereseno,Polufinale,52,150,null
154,4911,3588,28,Pobednik,Samostoen,66,28,4911
155,2544,2087,36,Pobednik,Polufinale,47,179,2544
156,153,1097,38,Nereseno,Finale,50,8,null
157,3680,4353,20,Nereseno,Polufinale,69,21,null
158,833,1555,22,Nereseno,CetvrtFinale,74,254,null
159,2576,2796,32,Pobednik,Samostoen,45,180,2576
160,1969,3371,18,Nereseno,Samostoen,47,205,null
161,5074,3646,42,Nereseno,Polufinale,50,207,null
162,682,593,15,Nereseno,Finale,63,237,null
163,878,4161,27,Pobednik,Polufinale,50,80,4161
164,4074,987,5,Nereseno,CetvrtFinale,50,56,null
165,2368,3961,44,Pobednik,CetvrtFinale,48,240,2368
166,2458,2281,45,Nereseno,CetvrtFinale,22,179,null
167,481,4152,45,Nereseno,Kvalifikacii,72,159,null
168,205,1379,1,Pobednik,CetvrtFinale,76,103,205
169,4178,2053,20,Pobednik,Samostoen,67,136,2053
170,4412,4876,48,Pobednik,Finale,14,192,4876
171,3605,3318,25,Pobednik,Finale,64,178,3605
172,2478,3650,22,Pobednik,Finale,20,221,3650
173,3814,1418,49,Nereseno,Kvalifikacii,70,181,null
174,2111,125,41,Nereseno,Polufinale,37,75,null
175,475,3815,34,Nereseno,Kvalifikacii,33,46,null
176,1169,867,4,Pobednik,Finale,12,97,867
177,2520,4545,29,Nereseno,Samostoen,20,18,null
178,5128,3543,26,Pobednik,Polufinale,51,185,3543
179,4277,4464,2,Pobednik,Finale,27,40,4277
180,4655,2535,9,Nereseno,Samostoen,69,35,null
181,1195,4728,14,Pobednik,Samostoen,78,117,4728
182,2438,2584,6,Nereseno,Finale,48,242,null
183,4893,5051,43,Nereseno,Polufinale,25,105,null
184,4703,2542,12,Nereseno,Finale,24,144,null
185,3845,585,23,Pobednik,Polufinale,44,173,3845
186,2696,3069,32,Pobednik,Kvalifikacii,79,97,3069
187,471,1619,9,Nereseno,Samostoen,72,217,null
188,3352,1272,45,Nereseno,Kvalifikacii,51,214,null
189,2383,214,18,Pobednik,Samostoen,49,63,214
190,556,1663,46,Pobednik,Samostoen,65,51,556
191,928,2031,49,Nereseno,Samostoen,16,164,null
192,2175,3254,15,Pobednik,Polufinale,10,159,2175
193,2183,2617,40,Nereseno,Kvalifikacii,23,131,null
194,768,3050,41,Pobednik,Finale,60,233,3050
195,1849,2303,48,Nereseno,Samostoen,16,210,null
196,2414,2385,6,Pobednik,Kvalifikacii,12,1,2414
197,4492,3373,35,Pobednik,Samostoen,75,40,3373
198,2090,3056,6,Nereseno,CetvrtFinale,78,104,null
199,2946,4975,28,Pobednik,Samostoen,68,232,4975
200,2943,4629,49,Nereseno,Finale,79,106,null
201,4518,2016,44,Nereseno,Finale,24,222,null
202,950,362,8,Pobednik,Samostoen,21,223,950
203,1181,4443,13,Pobednik,Samostoen,79,216,4443
204,4727,4347,49,Pobednik,Finale,73,4,4347
205,2639,4228,34,Pobednik,Kvalifikacii,17,238,2639
206,1118,1862,44,Pobednik,CetvrtFinale,33,112,1862
207,686,5140,50,Pobednik,CetvrtFinale,29,52,5140
208,2593,1760,22,Pobednik,Kvalifikacii,37,142,2593
209,1566,1880,47,Pobednik,Finale,72,148,1880
210,1112,2035,16,Nereseno,Polufinale,45,8,null
211,2143,2417,14,Nereseno,Finale,21,64,null
212,860,2798,20,Nereseno,Samostoen,77,79,null
213,4967,4380,43,Pobednik,CetvrtFinale,70,205,4380
214,960,1702,48,Pobednik,Samostoen,29,59,1702
215,3251,2224,40,Pobednik,Polufinale,16,240,2224
216,1184,2119,48,Pobednik,Kvalifikacii,68,191,2119
217,2276,911,7,Nereseno,Samostoen,69,13,null
218,5124,2818,14,Pobednik,CetvrtFinale,46,159,2818
219,4382,4968,3,Nereseno,Samostoen,66,227,null
220,2663,4179,14,Nereseno,Polufinale,77,23,null
221,1795,809,23,Pobednik,Samostoen,39,140,1795
222,2141,2600,15,Pobednik,Finale,32,132,2600
223,3046,3882,16,Nereseno,Kvalifikacii,17,63,null
224,3828,3704,24,Nereseno,Finale,52,212,null
225,2224,4212,44,Pobednik,Finale,60,87,2224
226,3198,1285,12,Nereseno,Polufinale,77,246,null
227,4425,1258,19,Pobednik,CetvrtFinale,44,76,1258
228,1143,2429,5,Pobednik,CetvrtFinale,35,204,2429
229,1463,4926,10,Nereseno,Finale,72,203,null
230,1017,1715,4,Pobednik,Samostoen,31,154,1715
231,1870,3770,7,Pobednik,Finale,65,246,1870
232,1308,4867,44,Pobednik,Finale,42,251,1308
233,3607,3635,31,Nereseno,Samostoen,49,206,null
234,2829,866,39,Nereseno,Polufinale,41,239,null
235,1977,2560,48,Pobednik,Polufinale,46,26,1977
236,1336,1700,48,Nereseno,Samostoen,77,127,null
237,2089,3049,4,Nereseno,CetvrtFinale,41,140,null
238,4911,1080,29,Pobednik,Kvalifikacii,10,186,4911
239,2608,3008,40,Pobednik,Kvalifikacii,64,35,3008
240,4223,3179,45,Pobednik,CetvrtFinale,76,130,4223
241,1248,2899,33,Nereseno,Polufinale,31,3,null
242,1932,173,47,Pobednik,CetvrtFinale,45,53,1932
243,3644,2192,2,Pobednik,CetvrtFinale,40,240,2192
244,4147,3041,2,Nereseno,Finale,37,144,null
245,4595,195,14,Nereseno,Finale,58,221,null
246,2516,3146,37,Pobednik,Polufinale,58,83,2516
247,807,2741,18,Nereseno,Polufinale,65,59,null
248,4560,4563,42,Pobednik,CetvrtFinale,21,8,4563
249,1291,4458,21,Nereseno,CetvrtFinale,48,80,null
250,1474,3361,29,Nereseno,CetvrtFinale,62,75,null
251,2723,1709,44,Pobednik,Polufinale,39,201,1709
252,4331,1578,43,Nereseno,Kvalifikacii,42,219,null
253,3982,5141,1,Nereseno,Polufinale,42,52,null
254,4135,1826,42,Pobednik,CetvrtFinale,68,114,1826
255,1183,1345,35,Nereseno,CetvrtFinale,15,69,null
256,367,3811,18,Nereseno,Polufinale,51,239,null
257,4753,3156,12,Nereseno,Kvalifikacii,18,102,null
258,1801,1467,10,Nereseno,CetvrtFinale,16,85,null
259,4320,914,42,Pobednik,CetvrtFinale,52,245,914
260,837,2962,34,Nereseno,Polufinale,67,91,null
261,2334,1534,15,Pobednik,Samostoen,74,125,1534
262,1352,4493,4,Pobednik,Samostoen,61,164,1352
263,3068,1883,3,Pobednik,Finale,25,177,1883
264,194,1056,17,Pobednik,Samostoen,19,192,194
265,4424,5132,29,Nereseno,CetvrtFinale,56,213,null
266,3667,2729,43,Pobednik,Kvalifikacii,18,198,3667
267,4271,4436,46,Pobednik,Samostoen,18,162,4271
268,4056,2235,19,Pobednik,Polufinale,19,125,4056
269,393,1119,47,Nereseno,Kvalifikacii,49,39,null
270,522,4557,22,Pobednik,CetvrtFinale,50,192,4557
271,1553,2388,1,Pobednik,Samostoen,36,241,1553
272,5066,2195,39,Pobednik,Kvalifikacii,11,110,2195
273,3815,280,1,Nereseno,CetvrtFinale,62,226,null
274,4727,2417,4,Nereseno,Polufinale,59,56,null
275,116,1824,25,Nereseno,Samostoen,25,82,null
276,790,4645,38,Nereseno,Polufinale,72,202,null
277,2369,1102,18,Nereseno,Kvalifikacii,61,49,null
278,3683,861,12,Nereseno,Kvalifikacii,63,76,null
279,890,875,38,Pobednik,Samostoen,61,54,875
280,3798,4086,50,Nereseno,CetvrtFinale,48,81,null
281,3850,4532,31,Pobednik,Finale,38,61,4532
282,2024,3420,33,Nereseno,Polufinale,59,108,null
283,4634,4618,2,Nereseno,Finale,58,157,null
284,3672,558,10,Nereseno,Samostoen,26,84,null
285,3322,3698,11,Nereseno,Polufinale,64,133,null
286,4847,3723,33,Nereseno,Kvalifikacii,22,84,null
287,492,2544,12,Nereseno,CetvrtFinale,49,89,null
288,3393,3095,33,Pobednik,CetvrtFinale,59,8,3393
289,3424,1502,36,Nereseno,CetvrtFinale,66,69,null
290,4565,4106,26,Nereseno,Finale,23,166,null
291,1312,1407,45,Nereseno,Polufinale,18,65,null
292,4447,226,26,Nereseno,Polufinale,22,15,null
293,1234,1559,49,Pobednik,CetvrtFinale,38,152,1559
294,1238,1573,21,Pobednik,Samostoen,77,29,1573
295,1640,781,38,Pobednik,Kvalifikacii,63,54,781
296,2766,502,10,Pobednik,Polufinale,45,142,502
297,3422,4138,43,Nereseno,Kvalifikacii,18,182,null
298,2686,2022,46,Nereseno,CetvrtFinale,58,31,null
299,2674,2769,45,Nereseno,Finale,73,166,null
300,3102,891,47,Pobednik,Kvalifikacii,45,164,891
301,2998,1014,10,Nereseno,Finale,58,82,null
302,680,2316,21,Pobednik,Polufinale,57,97,2316
303,276,4363,29,Pobednik,Polufinale,62,4,276
304,2809,4434,35,Pobednik,Samostoen,31,207,4434
305,2861,3816,15,Nereseno,Polufinale,21,212,null
306,2921,2785,29,Nereseno,CetvrtFinale,26,138,null
307,3133,717,26,Pobednik,Samostoen,78,141,717
308,2201,5142,35,Pobednik,CetvrtFinale,67,242,5142
309,3135,1637,20,Nereseno,Samostoen,36,198,null
310,142,3148,41,Nereseno,Polufinale,35,132,null
311,4291,2082,39,Nereseno,Finale,22,2,null
312,704,3394,25,Nereseno,Finale,74,173,null
313,1982,4927,18,Nereseno,Kvalifikacii,25,54,null
314,4891,295,40,Pobednik,Finale,67,154,295
315,1616,2556,35,Pobednik,Polufinale,60,177,1616
316,4024,2710,9,Nereseno,Samostoen,76,40,null
317,3634,250,45,Nereseno,Kvalifikacii,44,86,null
318,2831,3298,29,Pobednik,CetvrtFinale,51,183,2831
319,961,2176,34,Nereseno,Samostoen,21,18,null
320,112,3820,1,Nereseno,Samostoen,79,183,null
321,2678,378,5,Nereseno,Samostoen,29,68,null
322,4447,3089,44,Nereseno,Samostoen,14,208,null
323,3709,2815,36,Nereseno,Kvalifikacii,18,111,null
324,4243,4452,50,Nereseno,Polufinale,58,122,null
325,1333,4963,31,Nereseno,Kvalifikacii,21,224,null
326,2316,3938,5,Nereseno,CetvrtFinale,28,237,null
327,177,2048,4,Pobednik,Kvalifikacii,77,96,2048
328,2429,2741,42,Nereseno,Samostoen,26,253,null
329,1417,442,5,Pobednik,Samostoen,23,213,442
330,2175,4894,6,Nereseno,Samostoen,68,45,null
331,4347,2387,47,Nereseno,CetvrtFinale,16,145,null
332,3154,1709,48,Nereseno,CetvrtFinale,12,169,null
333,2279,976,34,Pobednik,CetvrtFinale,40,113,2279
334,3334,1725,24,Pobednik,Polufinale,78,218,1725
335,5079,1448,38,Pobednik,Kvalifikacii,22,252,5079
336,4410,5006,42,Nereseno,Samostoen,41,136,null
337,652,4753,43,Pobednik,Polufinale,67,115,4753
338,2363,3464,14,Pobednik,Samostoen,66,111,3464
339,2034,619,25,Pobednik,Kvalifikacii,68,162,2034
340,3507,3225,6,Nereseno,Samostoen,62,165,null
341,2962,2892,29,Nereseno,CetvrtFinale,40,98,null
342,4255,1539,38,Pobednik,Kvalifikacii,64,231,4255
343,2528,444,44,Nereseno,Finale,78,245,null
344,2708,3542,42,Pobednik,Kvalifikacii,40,247,3542
345,3462,5032,27,Pobednik,Kvalifikacii,44,78,3462
346,184,4150,4,Nereseno,Kvalifikacii,73,107,null
347,516,646,46,Nereseno,Samostoen,13,210,null
348,215,1846,16,Pobednik,CetvrtFinale,26,126,1846
349,2730,1213,36,Nereseno,CetvrtFinale,44,230,null
350,4656,3818,5,Nereseno,CetvrtFinale,62,122,null
351,4758,864,27,Nereseno,Finale,73,215,null
352,1220,156,50,Nereseno,Polufinale,60,205,null
353,785,2261,3,Nereseno,Finale,33,81,null
354,2345,1373,9,Pobednik,Polufinale,22,41,1373
355,1685,4393,38,Pobednik,Finale,22,149,4393
356,4256,3390,5,Pobednik,Polufinale,52,131,3390
357,1042,1536,26,Pobednik,Samostoen,33,146,1536
358,1088,2371,18,Pobednik,Samostoen,40,239,2371
359,4669,293,14,Pobednik,CetvrtFinale,48,188,293
360,3715,2782,16,Pobednik,Finale,16,160,3715
361,295,1734,15,Pobednik,Polufinale,11,243,1734
362,4454,138,22,Pobednik,Finale,44,24,138
363,2472,3349,23,Pobednik,Kvalifikacii,13,101,3349
364,1019,5104,3,Pobednik,Samostoen,80,151,1019
365,3866,405,27,Pobednik,Kvalifikacii,44,199,405
366,2445,4185,31,Nereseno,Finale,52,117,null
367,1649,300,32,Pobednik,Samostoen,46,35,300
368,908,2804,2,Pobednik,Samostoen,16,87,908
369,1826,3752,35,Pobednik,Kvalifikacii,14,67,1826
370,3691,4780,46,Pobednik,CetvrtFinale,14,61,4780
371,4706,2243,34,Pobednik,Finale,23,210,2243
372,2643,4460,4,Nereseno,Finale,11,171,null
373,2994,484,40,Nereseno,Polufinale,20,140,null
374,2168,4718,47,Nereseno,Samostoen,35,201,null
375,2921,384,39,Nereseno,CetvrtFinale,52,156,null
376,1511,2568,43,Nereseno,Finale,40,140,null
377,3017,2336,20,Nereseno,CetvrtFinale,30,186,null
378,2403,2238,4,Nereseno,Samostoen,60,1,null
379,422,2227,23,Nereseno,CetvrtFinale,57,178,null
380,3029,3829,18,Nereseno,Finale,71,169,null
381,2600,2196,22,Nereseno,Polufinale,61,37,null
382,4837,1251,16,Nereseno,Finale,55,213,null
383,769,1252,36,Pobednik,Samostoen,26,185,769
384,2627,4812,28,Nereseno,Polufinale,10,61,null
385,1446,4730,28,Pobednik,Samostoen,41,106,1446
386,723,1580,47,Pobednik,Kvalifikacii,64,50,723
387,2045,1389,34,Pobednik,Kvalifikacii,36,209,1389
388,1326,4289,37,Nereseno,Kvalifikacii,75,23,null
389,1323,4178,50,Nereseno,Samostoen,17,223,null
390,3957,2306,9,Nereseno,Samostoen,70,129,null
391,4095,3366,43,Pobednik,Samostoen,19,180,3366
392,2595,4839,8,Nereseno,Polufinale,62,155,null
393,270,2529,29,Nereseno,Samostoen,27,96,null
394,2754,3776,40,Nereseno,Polufinale,56,212,null
395,1705,5086,8,Nereseno,Polufinale,61,57,null
396,4690,720,33,Nereseno,Finale,60,250,null
397,4759,1538,46,Nereseno,Samostoen,34,211,null
398,3087,2119,35,Nereseno,CetvrtFinale,34,108,null
399,2353,2266,9,Pobednik,Polufinale,14,192,2353
400,5138,3431,46,Nereseno,Polufinale,66,10,null
401,3579,3638,21,Pobednik,Kvalifikacii,15,234,3638
402,3674,5030,4,Nereseno,CetvrtFinale,33,182,null
403,3365,4359,35,Pobednik,Samostoen,14,215,4359
404,1251,684,44,Nereseno,Kvalifikacii,13,3,null
405,3374,2691,19,Nereseno,Finale,33,155,null
406,3897,778,14,Nereseno,Samostoen,44,148,null
407,1580,338,8,Pobednik,Samostoen,65,199,338
408,1169,4972,26,Pobednik,Samostoen,16,153,4972
409,4284,3238,10,Nereseno,Polufinale,31,212,null
410,1509,357,39,Nereseno,Finale,47,248,null
411,3035,1631,26,Pobednik,Kvalifikacii,66,158,3035
412,3643,3487,33,Pobednik,Finale,68,216,3487
413,1239,810,7,Pobednik,Kvalifikacii,20,163,810
414,4896,3851,1,Nereseno,CetvrtFinale,39,146,null
415,1957,1486,17,Nereseno,CetvrtFinale,46,184,null
416,1058,3100,1,Pobednik,Kvalifikacii,26,20,1058
417,4853,3873,6,Nereseno,CetvrtFinale,77,162,null
418,2126,3820,37,Pobednik,Finale,23,165,2126
419,3444,154,46,Pobednik,Samostoen,36,31,3444
420,4122,3280,48,Nereseno,CetvrtFinale,40,182,null
421,606,5014,40,Pobednik,Polufinale,76,185,606
422,1416,4461,4,Pobednik,Finale,44,235,4461
423,1045,491,37,Nereseno,CetvrtFinale,20,10,null
424,2601,5038,7,Pobednik,Kvalifikacii,60,199,2601
425,2450,4104,9,Nereseno,CetvrtFinale,79,142,null
426,3946,4776,16,Pobednik,CetvrtFinale,23,26,3946
427,4657,3480,33,Pobednik,Polufinale,77,83,4657
428,1508,165,19,Nereseno,Polufinale,71,3,null
429,1144,393,41,Nereseno,Polufinale,36,60,null
430,3593,992,21,Pobednik,Finale,26,39,992
431,2254,4193,34,Nereseno,Polufinale,49,82,null
432,1697,1830,15,Nereseno,Finale,18,138,null
433,2343,900,14,Nereseno,Samostoen,25,185,null
434,147,398,14,Nereseno,Samostoen,12,127,null
435,3543,1726,14,Pobednik,Kvalifikacii,16,140,3543
436,548,4347,22,Nereseno,Kvalifikacii,68,96,null
437,1173,3827,7,Pobednik,CetvrtFinale,51,3,3827
438,1694,1784,25,Nereseno,Finale,52,90,null
439,2429,3797,32,Nereseno,Samostoen,69,96,null
440,3555,3228,45,Nereseno,Samostoen,80,1,null
441,2771,535,22,Pobednik,Polufinale,56,65,535
442,205,3554,25,Nereseno,Polufinale,33,191,null
443,1020,1763,36,Pobednik,Finale,40,170,1020
444,111,4641,15,Pobednik,Kvalifikacii,25,236,111
445,1780,1939,30,Nereseno,Kvalifikacii,69,50,null
446,3309,874,50,Nereseno,Finale,66,32,null
447,2206,1601,30,Nereseno,CetvrtFinale,31,184,null
448,4242,1751,12,Nereseno,CetvrtFinale,59,86,null
449,2367,4380,25,Pobednik,CetvrtFinale,19,163,2367
450,1815,4982,44,Pobednik,CetvrtFinale,63,246,1815
451,2273,898,46,Nereseno,Finale,62,71,null
452,5087,2346,12,Nereseno,Finale,61,191,null
453,1709,1917,48,Pobednik,Polufinale,71,2,1709
454,1193,3384,46,Pobednik,Samostoen,54,125,1193
455,1581,208,7,Pobednik,CetvrtFinale,61,111,208
456,3356,1092,1,Nereseno,Kvalifikacii,78,64,null
457,4073,1364,29,Nereseno,Finale,24,157,null
458,1712,742,42,Pobednik,Finale,79,235,1712
459,2229,2304,27,Pobednik,Finale,23,26,2229
460,662,3616,22,Pobednik,Finale,54,102,662
461,4224,4438,25,Pobednik,Finale,47,100,4438
462,4876,3372,7,Nereseno,CetvrtFinale,44,56,null
463,450,935,11,Pobednik,Kvalifikacii,37,12,935
464,1671,528,40,Pobednik,Polufinale,40,31,528
465,4440,4741,35,Nereseno,CetvrtFinale,62,200,null
466,4523,1365,44,Pobednik,Kvalifikacii,11,213,1365
467,2173,3189,24,Nereseno,Finale,78,119,null
468,3420,1838,39,Nereseno,Kvalifikacii,46,160,null
469,1163,599,3,Nereseno,Finale,61,112,null
470,3278,5117,32,Nereseno,Samostoen,29,236,null
471,765,3453,35,Pobednik,Polufinale,62,143,3453
472,155,3063,1,Pobednik,Finale,45,11,3063
473,474,1609,14,Nereseno,Polufinale,44,28,null
474,1116,5064,4,Nereseno,Kvalifikacii,47,240,null
475,1062,4295,8,Pobednik,CetvrtFinale,49,232,4295
476,5139,5063,47,Pobednik,Polufinale,22,162,5063
477,1315,3973,12,Pobednik,Polufinale,73,40,3973
478,3745,2804,24,Nereseno,CetvrtFinale,60,73,null
479,2463,390,38,Nereseno,Kvalifikacii,48,216,null
480,3883,591,6,Nereseno,Polufinale,37,12,null
481,4383,5126,6,Nereseno,Kvalifikacii,11,43,null
482,2410,3782,44,Pobednik,Polufinale,14,93,2410
483,939,4540,42,Nereseno,Samostoen,46,181,null
