ID,brPrijava,KorisnikID,NastanID,Status
109,Albania_2021:109,3362,60,Aktiven
110,Chile_2023:110,439,41,Pending
111,Zimbabwe_2022:111,4825,30,Aktiven
112,Kenya_2022:112,818,18,Aktiven
113,Venezuela_2024:113,2639,44,Aktiven
114,Pakistan_2022:114,5028,28,Aktiven
115,Portugal_2025:115,1353,35,Neaktiven
116,Singapore_2024:116,1075,82,Pending
117,Bangladesh_2021:117,5057,90,Neaktiven
118,Zambia_2022:118,2667,102,Neaktiven
119,Scotland_2022:119,5119,87,Aktiven
120,Northern Ireland_2021:120,1209,76,Aktiven
121,Suriname_2023:121,1917,26,Neaktiven
122,Denmark_2021:122,3473,21,Pending
123,Greece_2020:123,3435,40,Neaktiven
124,women's_2022:124,1979,32,Aktiven
125,Spain_2021:125,2700,68,Pending
126,Austria_2021:126,3816,109,Neaktiven
127,Chile_2023:127,667,41,Neaktiven
128,Kosovo_2023:128,215,17,Aktiven
129,Venezuela_2024:129,4999,44,Aktiven
130,Italy_2024:130,1210,86,Aktiven
131,Austria_2024:131,2628,93,Pending
132,Panama_2022:132,1228,62,Pending
133,Kosovo_2023:133,1708,17,Pending
134,Suriname_2023:134,3440,26,Aktiven
135,Zambia_2024:135,1981,46,Aktiven
136,Colombia_2021:136,2612,50,Neaktiven
137,Morocco_2020:137,2412,23,Neaktiven
138,Morocco_2020:138,623,23,Neaktiven
139,France_2023:139,841,13,Aktiven
140,Finland_2024:140,1377,63,Aktiven
141,Albania_2023:141,3895,15,Pending
142,Lebanon_2020:142,3115,14,Neaktiven
143,Australia_2020:143,3269,105,Neaktiven
144,Kazakhstan_2024:144,3054,106,Aktiven
145,Ireland_2024:145,2733,83,Aktiven
146,Kazakhstan_2024:146,3000,106,Aktiven
147,Turkey_2021:147,1379,2,Neaktiven
148,Kenya_2022:148,4078,18,Neaktiven
149,New Zealand_2021:149,769,94,Aktiven
150,Georgia_2023:150,3771,51,Aktiven
151,Argentina_2021:151,3543,42,Pending
152,Zambia_2022:152,4436,102,Neaktiven
153,Turkey_2021:153,974,2,Neaktiven
154,Finland_2024:154,3221,63,Aktiven
155,Italy_2024:155,3208,86,Aktiven
156,India_2020:156,1138,38,Aktiven
157,Scotland_2022:157,1075,87,Neaktiven
158,Romania_2020:158,993,10,Pending
159,Estonia_2023:159,2241,69,Aktiven
160,Colombia_2022:160,325,84,Aktiven
161,Singapore_2021:161,4077,20,Neaktiven
162,Estonia_2024:162,2710,33,Pending
163,Botswana_2020:163,3670,100,Aktiven
164,Germany_2025:164,4536,55,Pending
165,Barbados_2024:165,3313,79,Neaktiven
166,women's_2022:166,710,32,Neaktiven
167,Switzerland_2025:167,3599,45,Pending
168,Portugal_2023:168,4612,110,Pending
169,Colombia_2022:169,2488,84,Aktiven
170,Colombia_2023:170,2134,72,Neaktiven
171,Mexico_2023:171,1437,74,Aktiven
172,Georgia_2021:172,770,7,Neaktiven
173,Kenya_2025:173,3093,66,Neaktiven
174,Philippines_2024:174,743,1,Pending
175,Lithuania_2023:175,4277,95,Aktiven
176,Scotland_2022:176,3834,87,Aktiven
177,Germany_2021:177,96,36,Aktiven
178,Argentina_2021:178,1664,42,Pending
179,Turkey_2021:179,2616,2,Neaktiven
180,Kenya_2025:180,2616,66,Aktiven
181,Singapore_2020:181,3161,25,Pending
182,Russia_2020:182,3969,9,Neaktiven
183,Spain_2021:183,2787,68,Neaktiven
184,Colombia_2021:184,3474,50,Aktiven
185,Honduras_2024:185,4631,39,Neaktiven
186,Latvia_2021:186,3326,47,Neaktiven
187,Northern Ireland_2022:187,3314,12,Aktiven
188,Serbia_2020:188,2242,77,Pending
189,Mongolia_2023:189,4225,37,Aktiven
190,Macedonia_2023:190,699,19,Pending
191,Mexico_2023:191,906,74,Neaktiven
192,Canada_2021:192,544,8,Aktiven
193,Zambia_2024:193,4423,46,Neaktiven
194,Kazakhstan_2023:194,4844,80,Neaktiven
195,Lithuania_2023:195,2682,95,Neaktiven
196,Northern Ireland_2022:196,2611,12,Neaktiven
197,Canada_2021:197,5069,8,Pending
198,Hungary_2024:198,775,85,Pending
199,Germany_2025:199,288,55,Neaktiven
200,Kazakhstan_2023:200,726,80,Pending
201,Honduras_2024:201,2393,39,Neaktiven
202,Israel_2021:202,1388,91,Aktiven
203,Cuba_2023:203,3014,99,Neaktiven
204,Denmark_2021:204,2106,21,Neaktiven
205,Colombia_2022:205,4475,84,Aktiven
206,Zimbabwe_2025:206,3171,4,Aktiven
207,Germany_2025:207,4717,55,Aktiven
208,Ireland_2024:208,3518,83,Pending
209,Nicaragua_2021:209,4537,81,Neaktiven
210,Cuba_2023:210,919,54,Aktiven
211,Georgia_2023:211,4459,51,Pending
212,Norway_2023:212,3033,97,Aktiven
213,France_2023:213,1590,13,Pending
214,Argentina_2021:214,5020,42,Aktiven
215,Malta_2021:215,3314,24,Aktiven
216,Zimbabwe_2022:216,487,30,Pending
217,Philippines_2024:217,2943,1,Aktiven
218,Albania_2020:218,2771,70,Aktiven
219,United States _2020:219,4675,5,Pending
220,Cuba_2023:220,892,31,Aktiven
221,Cuba_2023:221,4239,99,Pending
222,Finland_2024:222,3111,63,Aktiven
223,Great Britain_2021:223,3428,53,Aktiven
224,Montenegro_2022:224,4085,65,Neaktiven
225,Estonia_2024:225,2811,33,Aktiven
226,Zambia_2024:226,2216,46,Neaktiven
227,China_2022:227,1910,107,Aktiven
228,Albania_2023:228,2666,15,Pending
229,Barbados_2024:229,3102,79,Aktiven
230,Estonia_2024:230,3140,33,Pending
231,Italy_2024:231,2364,86,Neaktiven
232,China_2023:232,4693,64,Neaktiven
233,Colombia_2022:233,250,84,Neaktiven
234,Colombia_2022:234,2966,84,Aktiven
235,Zimbabwe_2022:235,1907,30,Aktiven
236,New Zealand_2021:236,71,94,Pending
237,Sweden_2024:237,3937,73,Pending
238,Georgia_2023:238,4885,51,Neaktiven
239,Kazakhstan_2023:239,323,80,Pending
240,Botswana_2020:240,306,100,Aktiven
241,Colombia_2021:241,1187,50,Neaktiven
242,Spain_2021:242,343,68,Aktiven
243,India_2021:243,4697,92,Aktiven
244,Nicaragua_2021:244,526,81,Neaktiven
245,Switzerland_2025:245,3600,45,Neaktiven
246,China_2023:246,2944,64,Neaktiven
247,Germany_2025:247,5126,55,Pending
248,Barbados_2024:248,1419,79,Pending
249,Great Britain_2023:249,2988,98,Pending
250,Ukraine_2021:250,1583,27,Aktiven
251,Pakistan_2022:251,2298,28,Pending
252,Georgia_2021:252,4903,7,Pending
253,Colombia_2022:253,1906,84,Pending
254,Portugal_2025:254,2684,35,Aktiven
255,Barbados_2024:255,4740,49,Aktiven
256,Iran_2020:256,1586,6,Neaktiven
257,Greece_2020:257,3784,40,Neaktiven
258,Mongolia_2023:258,1511,37,Pending
259,Latvia_2021:259,3908,47,Aktiven
260,Portugal_2025:260,4603,35,Neaktiven
261,Estonia_2023:261,4977,69,Aktiven
262,India_2021:262,11,92,Neaktiven
263,Pakistan_2022:263,2588,28,Aktiven
264,Botswana_2020:264,2026,100,Pending
265,Macedonia_2023:265,2505,19,Aktiven
266,women's_2022:266,349,32,Aktiven
267,Kazakhstan_2024:267,2483,106,Aktiven
268,Portugal_2022:268,1112,103,Pending
269,Morocco_2023:269,3853,101,Neaktiven
270,Montenegro_2022:270,1755,65,Neaktiven
271,Finland_2024:271,2626,63,Neaktiven
272,Finland_2024:272,1684,63,Aktiven
273,Austria_2024:273,4715,93,Neaktiven
274,Finland_2024:274,4088,63,Neaktiven
275,United States _2020:275,3064,5,Pending
276,Trinidad and Tobago_2023:276,321,67,Pending
277,Israel_2021:277,4458,59,Aktiven
278,Zambia_2022:278,1293,102,Neaktiven
279,Ireland_2024:279,4466,83,Aktiven
280,Barbados_2024:280,3221,49,Pending
281,Lebanon_2020:281,5144,14,Neaktiven
282,Russia_2020:282,3194,9,Neaktiven
283,Norway_2022:283,4560,75,Aktiven
284,Spain_2021:284,1259,68,Pending
285,New Zealand_2021:285,2147,52,Aktiven
286,Barbados_2024:286,3078,79,Pending
287,Barbados_2024:287,1177,79,Aktiven
288,Suriname_2023:288,1907,26,Neaktiven
289,Barbados_2024:289,3870,79,Aktiven
290,Honduras_2024:290,1013,39,Neaktiven
291,Iran_2020:291,2994,6,Aktiven
292,Zambia_2022:292,2916,102,Aktiven
293,Pakistan_2022:293,648,28,Aktiven
294,Ireland_2024:294,1892,83,Pending
295,Panama_2022:295,798,62,Aktiven
296,Venezuela_2024:296,3311,44,Neaktiven
297,Zimbabwe_2025:297,320,4,Aktiven
298,Israel_2021:298,529,59,Aktiven
299,Kosovo_2023:299,3053,17,Neaktiven
300,Montenegro_2022:300,1082,65,Neaktiven
301,Faroe Islands_2021:301,1516,16,Aktiven
302,Trinidad and Tobago_2023:302,4165,67,Pending
303,Bangladesh_2021:303,4085,29,Neaktiven
304,Ireland_2020:304,4743,43,Neaktiven
305,Australia_2020:305,84,105,Pending
306,Zambia_2022:306,1021,102,Pending
307,Great Britain_2021:307,399,53,Aktiven
308,Singapore_2024:308,4065,82,Neaktiven
309,Russia_2020:309,3402,9,Aktiven
310,Morocco_2023:310,4675,101,Aktiven
311,Kenya_2022:311,913,18,Aktiven
312,Norway_2022:312,2210,75,Pending
313,Malta_2021:313,1106,24,Pending
314,Finland_2024:314,950,63,Neaktiven
315,Kazakhstan_2024:315,361,106,Pending
316,Russia_2020:316,3294,9,Neaktiven
317,Georgia_2023:317,3407,51,Aktiven
318,Norway_2022:318,738,75,Neaktiven
319,Venezuela_2025:319,3168,34,Aktiven
320,Northern Ireland_2021:320,3710,76,Aktiven
321,Algeria_2021:321,3197,78,Aktiven
322,Cuba_2023:322,2400,99,Neaktiven
323,Faroe Islands_2021:323,2832,16,Neaktiven
324,Israel_2021:324,2828,59,Neaktiven
325,Chile_2023:325,4180,41,Pending
326,Israel_2021:326,2831,91,Aktiven
327,Georgia_2021:327,3414,7,Neaktiven
328,Ireland_2020:328,4445,43,Neaktiven
329,Turkey_2021:329,1696,2,Pending
330,Barbados_2024:330,2327,49,Aktiven
331,Mongolia_2023:331,1193,37,Pending
332,Portugal_2023:332,3159,110,Aktiven
333,Austria_2024:333,4382,93,Aktiven
334,Kosovo_2023:334,1829,17,Aktiven
335,women's_2022:335,1466,32,Pending
336,China_2023:336,3433,64,Neaktiven
337,Argentina_2021:337,582,42,Aktiven
338,Austria_2024:338,3944,93,Neaktiven
339,Bangladesh_2021:339,1636,29,Pending
340,India_2020:340,344,38,Neaktiven
341,Trinidad and Tobago_2023:341,133,67,Aktiven
342,Great Britain_2023:342,2366,98,Neaktiven
343,Suriname_2023:343,1581,26,Aktiven
344,China_2022:344,2157,107,Neaktiven
345,Colombia_2022:345,2388,84,Aktiven
346,Seychelles_2024:346,584,88,Pending
347,Zambia_2022:347,4935,102,Pending
348,Germany_2025:348,3648,55,Pending
349,Venezuela_2025:349,3411,34,Neaktiven
350,Venezuela_2024:350,2440,44,Neaktiven
351,Switzerland_2025:351,252,45,Aktiven
352,Zimbabwe_2025:352,4451,4,Pending
353,Zambia_2024:353,1976,46,Pending
354,Cuba_2023:354,1001,99,Aktiven
355,Dominican Republic_2023:355,1026,48,Pending
356,Kosovo_2023:356,1602,17,Aktiven
357,Kazakhstan_2024:357,783,106,Pending
358,Barbados_2024:358,1931,79,Pending
359,Cuba_2023:359,3468,31,Pending
360,Finland_2024:360,818,63,Neaktiven
361,Israel_2021:361,2161,59,Neaktiven
362,Great Britain_2021:362,2946,53,Aktiven
363,Bangladesh_2021:363,4292,29,Pending
364,Zimbabwe_2022:364,502,30,Pending
365,Germany_2021:365,1551,36,Neaktiven
366,Bangladesh_2021:366,4306,90,Neaktiven
367,Latvia_2021:367,3638,47,Aktiven
368,Ukraine_2021:368,2343,27,Neaktiven
369,China_2023:369,2289,64,Neaktiven
370,Nepal_2021:370,1498,108,Pending
371,Kazakhstan_2024:371,4847,106,Aktiven
372,Great Britain_2021:372,2089,53,Neaktiven
373,Belgium_2023:373,4247,61,Pending
374,Morocco_2020:374,4426,23,Aktiven
375,Cuba_2023:375,4750,31,Neaktiven
376,Kosovo_2023:376,1535,17,Aktiven
377,Northern Ireland_2022:377,3663,12,Aktiven
378,Albania_2021:378,462,60,Aktiven
379,Ireland_2024:379,815,83,Neaktiven
380,Scotland_2022:380,5057,87,Aktiven
381,Australia_2020:381,2285,105,Aktiven
382,Belgium_2023:382,2582,61,Aktiven
383,Honduras_2024:383,965,39,Aktiven
384,Albania_2020:384,4705,70,Pending
385,Portugal_2023:385,1305,110,Neaktiven
386,Montenegro_2022:386,4932,65,Aktiven
387,Georgia_2021:387,1287,7,Aktiven
388,Germany_2025:388,2863,55,Neaktiven
389,Netherlands_2023:389,291,89,Neaktiven
390,Barbados_2024:390,795,49,Neaktiven
391,Georgia_2023:391,4759,51,Aktiven
392,Azerbaijan_2020:392,3675,56,Neaktiven
393,Argentina_2021:393,4214,42,Pending
394,Philippines_2024:394,4871,1,Neaktiven
395,Chile_2023:395,546,41,Pending
396,Malta_2021:396,3036,24,Neaktiven
397,Zambia_2024:397,802,46,Pending
398,Faroe Islands_2021:398,3990,16,Neaktiven
399,Mongolia_2023:399,4929,37,Neaktiven
400,Serbia_2020:400,396,77,Aktiven
401,Honduras_2024:401,3131,39,Aktiven
402,Azerbaijan_2020:402,1243,56,Aktiven
403,Zambia_2022:403,2751,102,Neaktiven
404,Norway_2023:404,3623,97,Neaktiven
405,Finland_2024:405,5090,63,Neaktiven
406,Ireland_2024:406,748,83,Neaktiven
407,Dominican Republic_2023:407,573,48,Aktiven
408,Serbia_2020:408,1208,77,Pending
409,Ukraine_2021:409,4862,27,Pending
410,Bangladesh_2021:410,3939,29,Aktiven
411,Trinidad and Tobago_2023:411,4852,67,Neaktiven
412,Barbados_2024:412,1027,79,Pending
413,Portugal_2023:413,1961,110,Neaktiven
414,Sri Lanka_2024:414,5141,57,Aktiven
415,Russia_2020:415,2965,9,Neaktiven
416,Georgia_2023:416,2938,51,Pending
417,Montenegro_2022:417,4659,65,Pending
418,Nicaragua_2021:418,1611,81,Pending
419,Singapore_2024:419,412,82,Neaktiven
420,Barbados_2024:420,3941,79,Pending
421,Nicaragua_2021:421,2716,81,Neaktiven
422,Montenegro_2022:422,37,65,Aktiven
423,Panama_2022:423,3854,62,Aktiven
424,Greece_2020:424,3507,40,Neaktiven
425,Ireland_2020:425,103,43,Neaktiven
426,Portugal_2023:426,1072,110,Aktiven
427,China_2022:427,2783,107,Neaktiven
428,Philippines_2025:428,4240,11,Pending
429,Pakistan_2022:429,1486,28,Neaktiven
430,Zambia_2024:430,3783,46,Pending
431,Greece_2020:431,4733,40,Neaktiven
432,Austria_2021:432,393,109,Pending
433,France_2023:433,3535,13,Neaktiven
434,Colombia_2022:434,5027,84,Aktiven
435,Seychelles_2024:435,1549,88,Aktiven
436,Ukraine_2021:436,2396,27,Neaktiven
437,Philippines_2024:437,3849,1,Pending
438,Kenya_2025:438,631,66,Pending
439,India_2021:439,2242,92,Aktiven
440,China_2023:440,3590,64,Aktiven
441,Great Britain_2023:441,2647,98,Pending
442,Chile_2023:442,3859,41,Pending
443,Bangladesh_2021:443,4701,90,Pending
444,Cuba_2023:444,4428,99,Aktiven
445,Australia_2020:445,2541,105,Neaktiven
446,Suriname_2023:446,400,26,Neaktiven
447,Portugal_2023:447,5085,110,Neaktiven
448,Croatia_2020:448,5044,22,Neaktiven
449,Croatia_2020:449,2519,22,Neaktiven
450,Iran_2020:450,468,6,Neaktiven
451,Morocco_2024:451,4692,3,Pending
452,Israel_2021:452,4981,59,Aktiven
453,Colombia_2023:453,4719,72,Neaktiven
454,Lithuania_2023:454,2520,95,Aktiven
455,Suriname_2023:455,2616,26,Neaktiven
456,Algeria_2021:456,2808,78,Neaktiven
457,Israel_2021:457,598,91,Neaktiven
458,Italy_2024:458,251,86,Aktiven
459,Spain_2021:459,2561,68,Neaktiven
460,Malta_2021:460,1288,24,Aktiven
461,Algeria_2021:461,4171,78,Neaktiven
462,Ukraine_2021:462,3726,27,Pending
463,Mexico_2023:463,3371,74,Neaktiven
464,Netherlands_2023:464,4193,89,Neaktiven
465,Colombia_2021:465,449,50,Aktiven
466,India_2020:466,5000,38,Pending
467,Mexico_2023:467,1284,74,Pending
468,India_2020:468,53,38,Neaktiven
469,Ukraine_2021:469,4967,27,Pending
470,Estonia_2023:470,2896,69,Aktiven
471,Great Britain_2021:471,3749,53,Neaktiven
472,Italy_2024:472,4329,86,Pending
473,Portugal_2025:473,4709,35,Neaktiven
474,Estonia_2024:474,779,33,Aktiven
475,France_2023:475,335,13,Neaktiven
476,Zambia_2022:476,558,102,Neaktiven
477,Portugal_2023:477,216,110,Aktiven
478,Montenegro_2022:478,653,96,Pending
479,Croatia_2020:479,4631,22,Neaktiven
480,France_2023:480,4694,13,Pending
481,United Arab Emirates_2022:481,2618,104,Neaktiven
482,Kazakhstan_2023:482,3060,80,Pending
483,Kenya_2022:483,2501,18,Neaktiven
484,Argentina_2021:484,541,42,Aktiven
485,Ireland_2020:485,2317,43,Aktiven
486,Northern Ireland_2021:486,396,76,Aktiven
487,Macedonia_2023:487,1382,19,Pending
488,Philippines_2025:488,2776,11,Aktiven
489,Colombia_2022:489,2077,84,Aktiven
490,Honduras_2024:490,2804,39,Aktiven
491,France_2023:491,1055,13,Aktiven
492,Portugal_2022:492,4822,103,Aktiven
493,Malta_2021:493,2411,24,Neaktiven
494,Azerbaijan_2020:494,2531,56,Aktiven
495,Montenegro_2022:495,4744,65,Aktiven
496,Austria_2024:496,2702,93,Pending
497,Bangladesh_2021:497,246,29,Aktiven
498,Iran_2020:498,1109,6,Aktiven
499,Turkey_2021:499,1653,2,Neaktiven
500,Morocco_2024:500,909,3,Pending
501,Colombia_2021:501,4708,50,Pending
502,United Arab Emirates_2022:502,1963,104,Pending
503,Belgium_2023:503,2272,61,Neaktiven
504,Seychelles_2024:504,693,88,Neaktiven
505,Iran_2020:505,1204,6,Neaktiven
506,Canada_2021:506,5051,8,Pending
507,Finland_2024:507,2116,63,Aktiven
508,Kosovo_2023:508,650,17,Aktiven
509,Morocco_2023:509,4953,101,Neaktiven
510,Sweden_2024:510,2774,73,Pending
511,Norway_2023:511,3160,97,Pending
512,Singapore_2020:512,3253,25,Aktiven
513,Kenya_2025:513,4359,66,Aktiven
514,Kenya_2022:514,641,18,Neaktiven
515,Northern Ireland_2022:515,6,12,Aktiven
516,Dominican Republic_2023:516,4116,48,Aktiven
517,Finland_2024:517,2474,63,Pending
518,Kosovo_2023:518,749,17,Pending
519,Mexico_2023:519,2338,74,Aktiven
520,Hungary_2024:520,1080,85,Neaktiven
521,women's_2022:521,1927,32,Aktiven
522,Philippines_2025:522,384,11,Pending
523,Croatia_2020:523,2676,22,Neaktiven
524,Zimbabwe_2022:524,663,30,Neaktiven
525,Zimbabwe_2025:525,347,4,Aktiven
526,Spain_2021:526,4837,68,Pending
527,Turkey_2021:527,4469,2,Pending
528,Barbados_2024:528,4375,79,Pending
529,Dominican Republic_2023:529,3724,48,Pending
530,Lebanon_2020:530,528,14,Pending
531,Morocco_2023:531,4782,101,Aktiven
532,Albania_2023:532,2517,15,Neaktiven
533,Turkey_2021:533,691,2,Pending
534,Suriname_2023:534,2227,26,Neaktiven
535,Panama_2022:535,3860,62,Pending
536,Nicaragua_2021:536,4497,81,Pending
537,Seychelles_2024:537,1183,88,Neaktiven
538,Lithuania_2023:538,4588,95,Neaktiven
539,Portugal_2023:539,3293,110,Neaktiven
540,Colombia_2021:540,4477,50,Aktiven
541,Trinidad and Tobago_2023:541,2410,67,Pending
542,Georgia_2021:542,2262,7,Pending
543,Cuba_2023:543,1142,54,Pending
544,Morocco_2023:544,465,101,Neaktiven
545,Ireland_2024:545,2463,83,Pending
546,Ukraine_2021:546,1628,27,Pending
547,Israel_2021:547,3268,59,Pending
548,Germany_2025:548,54,55,Pending
549,Mongolia_2023:549,1679,37,Pending
550,Italy_2024:550,4146,86,Neaktiven
551,Croatia_2020:551,550,22,Pending
552,Great Britain_2023:552,2641,98,Pending
553,Singapore_2024:553,3333,82,Pending
554,Belgium_2023:554,518,61,Aktiven
555,China_2023:555,1449,64,Neaktiven
556,Greece_2020:556,4457,40,Neaktiven
557,Canada_2021:557,1084,8,Aktiven
558,Finland_2024:558,3072,63,Pending
559,Albania_2023:559,3719,15,Pending
560,Estonia_2024:560,4876,33,Neaktiven
561,Chile_2023:561,3769,41,Pending
562,Israel_2021:562,3322,59,Neaktiven
563,Austria_2024:563,3487,93,Neaktiven
564,Sri Lanka_2024:564,2697,57,Pending
565,India_2020:565,3567,38,Aktiven
566,Norway_2022:566,1669,75,Aktiven
567,Malta_2021:567,846,24,Pending
568,Mexico_2023:568,2205,74,Aktiven
569,Montenegro_2022:569,2871,65,Neaktiven
570,Northern Ireland_2023:570,1083,71,Aktiven
571,Turkey_2021:571,4356,2,Neaktiven
572,Georgia_2021:572,4376,7,Pending
573,Austria_2024:573,2941,93,Neaktiven
574,Albania_2023:574,2868,15,Neaktiven
575,Lebanon_2020:575,2241,14,Neaktiven
576,India_2021:576,465,92,Pending
577,Greece_2020:577,2227,40,Aktiven
578,Sweden_2024:578,2783,73,Pending
579,Azerbaijan_2020:579,2048,56,Aktiven
580,Turkey_2021:580,2954,2,Aktiven
581,India_2021:581,4337,92,Pending
582,Singapore_2020:582,1714,25,Pending
583,Northern Ireland_2023:583,2410,71,Aktiven
584,Honduras_2024:584,3267,39,Neaktiven
585,Morocco_2020:585,3779,23,Aktiven
586,Austria_2021:586,545,109,Neaktiven
587,Azerbaijan_2020:587,2655,56,Neaktiven
588,Turkey_2021:588,1950,2,Pending
589,Ireland_2024:589,4289,83,Aktiven
590,New Zealand_2021:590,2530,52,Aktiven
591,Nicaragua_2021:591,3973,81,Aktiven
592,Italy_2024:592,3285,86,Neaktiven
593,Austria_2024:593,232,93,Pending
594,Iran_2020:594,4638,6,Neaktiven
595,United Arab Emirates_2022:595,1342,104,Neaktiven
596,Chile_2023:596,4291,41,Pending
597,Panama_2022:597,2630,62,Pending
598,Denmark_2021:598,4009,21,Pending
599,Zambia_2022:599,2821,102,Aktiven
600,Lithuania_2023:600,4545,95,Aktiven
601,Cuba_2023:601,3736,54,Aktiven
602,Denmark_2021:602,1323,21,Aktiven
603,Israel_2021:603,4343,91,Pending
604,Ireland_2024:604,4332,83,Aktiven
605,Montenegro_2022:605,2808,96,Neaktiven
606,women's_2022:606,2191,32,Pending
607,Pakistan_2022:607,1233,28,Aktiven
608,Israel_2021:608,3771,59,Pending
609,Netherlands_2023:609,1630,89,Neaktiven
610,women's_2022:610,4315,32,Aktiven
611,Singapore_2020:611,622,25,Aktiven
612,Georgia_2021:612,44,7,Aktiven
613,Singapore_2024:613,1008,82,Neaktiven
614,Kazakhstan_2023:614,310,80,Neaktiven
